Subject_ID,Loc_Plot_State1,Loc_Plot_City1,Loc_Plot_State2,Loc_Plot_City2,Date_Exposure,Plot_Target1,Plot_Target2,Plot_Target3,Attack_Preparation,Op_Security,Changing_Target,Anticp_Fatals_Targ,Internet_Use_Plot,Extent_Plot,Violent,Criminal_Severity,Criminal_Charges,Indict_Arrest,Current_Status,Group_Membership,Terrorist_Group_Name1,Terrorist_Group_Name2,Terrorist_Group_Name3,Actively_Recruited,Recruiter1,Recruiter2,Recruiter3,Actively_Connect,Group_Competition,Role_Group,Length_Group,Clique,Clique_Radicalize,Clique_Connect,Internet_Radicalization,Media_Radicalization,Social_Media,Social_Media_Frequency,Social_Media_Platform1,Social_Media_Platform2,Social_Media_Platform3,Social_Media_Activities1,Social_Media_Activities2,Social_Media_Activities3,Social_Media_Activities4,Social_Media_Activities5,Social_Media_Activities6,Social_Media_Activities7,Radicalization_Islamist,Radicalization_Far_Right,Radicalization_Far_Left,Radicalization_Single_Issue,Ideological_Sub_Category1,Ideological_Sub_Category2,Ideological_Sub_Category3,Loc_Habitation_State1,Loc_Habitation_City1,Loc_Habitation_State2,Loc_Habitation_City2,Itinerant,External_Rad,Rad_duration,Radical_Behaviors,Radical_Beliefs,US_Govt_Leader,Foreign_Govt_Leader,Event_Influence1,Event_Influence2,Event_Influence3,Event_Influence4,Beliefs_Trajectory,Behaviors_Trajectory,Radicalization_Sequence,Radicalization_Place,Prison_Radicalize,Broad_Ethnicity,Age,Marital_Status,Children,Age_Child,Gender,Religious_Background,Convert,Convert_Date,Reawakening,Reawakening_Date,Citizenship,Residency_Status,Nativity,Time_US_Months,Immigrant_Generation,Immigrant_Source,Language_English,Diaspora_Ties,Education,Student,Education_Change,Employment_Status,Change_Performance,Work_History,Military,Foreign_Military,Social_Stratum_Childhood,Social_Stratum_Adulthood,Aspirations,Abuse_Child,Abuse_Adult,Abuse_type1,Abuse_Type2,Abuse_Type3,Psychological,Alcohol_Drug,Absent_Parent,Overseas_Family,Close_Family,Family_Religiosity,Family_Ideology,Family_Ideological_Level,Prison_Family_Friend,Crime_Family_Friend,Radical_Friend,Radical_Family,Radical_Signif_Other,Relationship_Troubles,Platonic_Troubles,Unstructured_Time,Friendship_Source1,Friendship_Source2,Friendship_Source3,Kicked_Out,Previous_Criminal_Activity,Previous_Criminal_Activity_Type1,Previous_Criminal_Activity_Type2,Previous_Criminal_Activity_Type3,Previous_Criminal_Activity_Age,Gang,Gang_Ideology,Gang_Age_Joined,Gang_Radicalize,Trauma,Other_Ideologies,Angry_US,Group_Grievance,Standing
1017,New York,Lackawanna,,,10/21/2002,-88,,,-88,-88,-88,-88,-88,0,1,5,2,4,4,3,al-Qaeda core,,,1,3,,,2,0,3,-99,1,1,1,0,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,New York,Lackawanna,,,1,1,2,6,5,1,1,-99,,,,1,1,1,-99,-88,4,25,1,0,-88,2,1,0,-88,-99,-99,United States of America,1,United States of America,-99,2,Yemen ,-99,2,3,0,-88,3,-88,3,-99,0,-99,2,-99,0,0,-88,,,0,0,-99,1,2,2,1,1,-99,-99,2,0,0,0,0,0,-99,,,-99,-99,-99,-99,-99,-99,0,-88,-88,-88,-99,0,1,-99,-99
1018,New York,Lackawanna,,,9/13/2002,-88,,,-88,-88,-88,-88,-88,0,1,5,2,4,1,3,al-Qaeda core,,,1,4,,,2,0,2,24,1,1,1,0,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,New York,-99,,,1,0,-99,8,3,-99,-99,-99,,,,-99,-99,1,1,-88,4,24,1,1,2,2,1,0,-88,-99,-99,United States of America,1,United States of America,288,-99,Yemen,-99,-99,3,1,-99,1,-99,4,0,0,1,1,-99,0,0,-88,,,0,0,2,-99,-99,-99,-99,-99,-99,-99,2,0,0,0,0,0,-99,,,-99,0,-88,-88,-88,-88,0,-88,-88,-88,-99,0,-99,-99,-99
1019,New York,New York,,,6/20/2003,14,19,,1,2,0,2,1,1,1,5,2,4,4,3,al-Qaeda core,,,1,3,,,1,-99,1,36,-99,-99,-99,1,-99,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,Ohio,Columbus,,,-99,1,3,7,2,-99,-99,-99,,,,1,1,1,-99,-99,6,34,3,0,-88,2,1,0,-88,-99,-99,United States of America,2,Pakistan,108,1,Pakistan,-99,-99,-99,-99,-99,2,-99,4,-99,-99,-99,2,-99,0,0,-88,,,1,0,-99,-99,-99,-99,-99,-99,-99,-99,2,0,0,1,-99,0,-99,,,-99,-99,-99,-99,-99,-99,0,-88,-88,-88,-99,0,0,-99,-99
1021,Virginia,Alexandria,,,6/1/2003,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,4,3,Lashkar-e Tayyiba (LeT),,,1,4,,,1,0,2,36,1,1,1,-99,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,District of Columbia,Washington,,,1,1,3,8,5,1,1,1,,,,1,1,3,-99,-88,3,30,2,4,-99,2,-99,1,6/1/1992,0,-88,United States of America,1,United States of America,360,0,-88,-88,-88,5,1,-99,1,-99,4,0,0,2,3,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,-99,-99,-99,,,-99,0,-88,-88,-88,-88,0,-88,-88,-88,-99,0,1,1,-99
1022,Virginia,Alexandria,,,6/27/2003,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,4,3,Lashkar-e Tayyiba (LeT),,,1,4,,,1,0,3,22,1,1,1,-99,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,Virginia,-99,,,0,1,2,8,5,0,0,1,,,,1,1,-99,2,-88,4,26,1,0,-88,2,1,0,-88,0,-88,Yemen,4,Yemen,120,1,Yemen,-99,2,-99,0,-88,-99,-99,-99,0,0,3,2,-99,0,0,-88,,,0,0,-99,1,-99,-99,-99,-99,-99,-99,2,0,0,-99,-99,-99,-99,,,-99,0,-88,-88,-88,-88,0,-88,-88,-88,-99,0,1,1,-99
1023,Virginia,Alexandria,,,6/1/2003,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,4,3,Lashkar-e Tayyiba (LeT),,,1,4,,,1,0,2,21,1,1,1,-99,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,Virginia,-99,,,0,1,2,8,5,1,1,1,,,,1,2,1,1,-99,6,26,1,-99,-99,2,11,1,1/1/1997,0,-88,United States of America; South Korea,2,South Korea,-99,1,South Korea,-99,-99,5,0,-88,-99,-99,-99,0,0,-99,2,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,2,0,0,-99,-99,-99,4,,,-99,1,20,,,2,0,-88,-88,-88,-99,1,1,3,-99
1024,Virginia,Alexandria,,,6/1/2003,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,4,3,Lashkar-e Tayyiba (LeT),,,1,4,,,1,0,2,21,1,1,1,-99,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,Virginia,Alexandria,,,1,1,2,8,5,1,1,1,,,,2,2,-99,1,-88,4,26,3,-99,-99,2,1,0,-88,-99,-99,United States of America; Pakistan,2,Pakistan,156,1,Pakistan,-99,-99,9,0,-88,1,0,-99,0,0,-99,-99,-99,0,0,-88,,,0,0,-99,1,-99,-99,-99,-99,-99,-99,2,0,0,1,-99,-99,4,,,-99,-99,-99,-99,-99,-99,0,-88,-88,-88,-99,0,1,3,-99
1025,Virginia,Alexandria,,,6/1/2003,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,4,3,Lashkar-e Tayyiba (LeT),,,1,4,,,1,0,2,21,1,1,1,-99,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,Pennsylvania,Royersford,Pennsylvania,Norristown,0,1,2,8,5,1,1,1,,,,2,2,-99,1,-88,4,30,2,2,-99,2,1,0,-88,-99,-99,Pakistan,4,Pakistan,-99,1,Pakistan,-99,-99,9,0,-88,1,0,4,0,0,-99,2,-99,0,0,-88,,,0,0,-99,1,-99,-99,-99,-99,-99,-99,2,0,0,0,-99,-99,4,,,-99,-99,-99,-99,-99,-99,0,-88,-88,-88,-99,0,1,3,-99
1026,Virginia,Alexandria,,,6/1/2003,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,4,3,Lashkar-e Tayyiba (LeT),,,-99,-99,,,1,0,2,26,1,1,1,-99,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,Maryland,-99,,,0,0,-99,10,5,1,1,1,,,,2,2,1,2,-88,-99,30,-99,-99,-99,2,-99,1,-99,-99,-99,United States of America,1,United States of America,360,0,-88,-88,-88,-99,0,-88,-99,-99,-99,1,0,-99,-99,-99,0,0,-88,,,0,0,-99,-99,-99,-99,-99,-99,-99,-99,2,0,0,-99,-99,-99,4,,,-99,0,-88,-88,-88,-88,0,-88,-88,-88,-99,0,1,2,-99
1027,Virginia,Alexandria,,,7/28/2003,-88,,,-88,-88,-88,-88,-88,0,1,7,2,4,4,3,Lashkar-e Tayyiba (LeT),,,1,4,,,1,0,3,-99,1,1,1,-99,1,-88,-88,-88,,,-88,,,,,,,1,0,0,0,11,,,Virginia,-99,,,0,1,2,10,4,1,0,1,,,,1,1,-99,2,-88,6,31,2,1,1,2,1,0,-88,-99,-99,United States of America,1,United States of America,372,0,-88,-88,2,5,1,0,1,0,4,0,0,-99,2,0,0,0,-88,,,0,0,0,1,-99,-99,-99,-99,-99,-99,2,0,0,0,0,0,-99,,,0,0,-88,-88,-88,-88,0,-88,-88,-88,-99,0,1,1,0
